station_id,init_date,forecast_hour,relative_horizon_hour,wind_u_10m_mps,wind_v_10m_mps,relative_humidity_2m_percent,temperature_2m_kelvin,surface_pressure_pa,surface_pressure_hpa,temperature_2m_celsius,wind_speed_10m_mps,initialization_utc,valid_time_utc,valid_time_pjm,wind_chill_celsius,heating_degree_celsius,temp_ramp_3h_celsius,temp_ramp_6h_celsius,temp_1h_ago_celsius,temp_2h_ago_celsius,cold_duration_hours
Baltimore_Washington_MD,2014-03-08,18,0,-2.7272368000000005,-5.012072399999999,100.0,250.37,101097.9,1010.979,-22.779999999999973,5.706022284053576,2014-03-08 06:00:00,2014-03-09 00:00:00+00:00,2014-03-08 19:00:00-05:00,-34.12803497965168,40.77999999999997,4.670000000000016,4.180000000000007,-27.44999999999999,-26.95999999999998,1
Baltimore_Washington_MD,2014-03-08,19,1,-2.6872368000000004,-5.0551754666666655,100.0,250.17666666666668,101095.96666666666,1010.9596666666666,-22.9733333333333,5.725036298405695,2014-03-08 06:00:00,2014-03-09 01:00:00+00:00,2014-03-08 20:00:00-05:00,-34.390204502116816,40.9733333333333,-0.19333333333332803,4.476666666666688,-22.779999999999973,-27.44999999999999,2
Baltimore_Washington_MD,2014-03-08,20,2,-2.6472368000000004,-5.098278533333333,100.0,249.98333333333332,101094.03333333334,1010.9403333333336,-23.166666666666657,5.744589339432517,2014-03-08 06:00:00,2014-03-09 02:00:00+00:00,2014-03-08 21:00:00-05:00,-34.652958044602535,41.16666666666666,-0.19333333333335645,-0.3866666666666845,-22.9733333333333,-22.779999999999973,3
Baltimore_Washington_MD,2014-03-08,21,3,-2.6072368000000004,-5.141381599999999,100.0,249.79,101092.1,1010.921,-23.359999999999985,5.764675922208706,2014-03-08 06:00:00,2014-03-09 03:00:00+00:00,2014-03-08 22:00:00-05:00,-34.91629155835156,41.359999999999985,-0.19333333333332803,-0.3866666666666845,-23.166666666666657,-22.9733333333333,4
Baltimore_Washington_MD,2014-03-08,22,4,-2.6772368,-5.158048266666666,99.96666666666668,249.68666666666667,101082.10350933332,1010.8210350933332,-23.46333333333331,5.811459266357912,2014-03-08 06:00:00,2014-03-09 04:00:00+00:00,2014-03-08 23:00:00-05:00,-35.090534788097315,41.46333333333331,-0.10333333333332462,-0.29666666666665265,-23.359999999999985,-23.166666666666657,5
Baltimore_Washington_MD,2014-03-08,23,5,-2.7472368000000005,-5.174714933333333,99.93333333333334,249.58333333333331,101072.10701866668,1010.7210701866668,-23.566666666666663,5.85875282603194,2014-03-08 06:00:00,2014-03-09 05:00:00+00:00,2014-03-09 00:00:00-05:00,-35.2651269227519,41.56666666666666,-0.10333333333335304,-0.20666666666667766,-23.46333333333331,-23.359999999999985,6
Baltimore_Washington_MD,2014-03-08,24,6,-2.8172368000000003,-5.1913816,99.9,249.48,101062.110528,1010.62110528,-23.669999999999987,5.906544345392896,2014-03-08 06:00:00,2014-03-09 06:00:00+00:00,2014-03-09 01:00:00-05:00,-35.44005256742788,41.66999999999999,-0.10333333333332462,-0.20666666666667766,-23.566666666666663,-23.46333333333331,7
Baltimore_Washington_MD,2014-03-08,25,7,-2.883903466666667,-5.088278533333333,99.93333333333334,249.37,101067.40701866666,1010.6740701866668,-23.779999999999973,5.8487158964881205,2014-03-08 06:00:00,2014-03-09 07:00:00+00:00,2014-03-09 03:00:00-04:00,-35.52619270996591,41.77999999999997,-0.10999999999998522,-0.21333333333330984,-23.669999999999987,-23.566666666666663,8
Baltimore_Washington_MD,2014-03-08,26,8,-2.9505701333333336,-4.985175466666667,99.96666666666668,249.26,101072.70350933334,1010.7270350933334,-23.889999999999983,5.792912785911239,2014-03-08 06:00:00,2014-03-09 08:00:00+00:00,2014-03-09 04:00:00-04:00,-35.61355899921769,41.889999999999986,-0.11000000000001009,-0.2199999999999953,-23.779999999999973,-23.669999999999987,9
Baltimore_Washington_MD,2014-03-08,27,9,-3.0172368000000005,-4.8820724,100.0,249.15,101078.0,1010.78,-23.99999999999997,5.7391940920407984,2014-03-08 06:00:00,2014-03-09 09:00:00+00:00,2014-03-09 05:00:00-04:00,-35.70225467563707,41.99999999999997,-0.10999999999998877,-0.21999999999999886,-23.889999999999983,-23.779999999999973,10
