valid_time_utc,pjm_wind_chill_celsius,pjm_heating_degree_celsius,pjm_temp_ramp_3h_celsius,pjm_temp_ramp_6h_celsius,pjm_temp_1h_ago_celsius,pjm_temp_2h_ago_celsius,pjm_cold_duration_hours,pjm_temperature_2m_celsius,pjm_relative_humidity_2m_percent,pjm_wind_speed_10m_mps,pjm_surface_pressure_hpa
2014-01-07 00:00:00+00:00,-43.363923303845986,50.17103469999997,-4.946034699999997,-4.5627013666666585,-27.224999999999973,-27.608333333333313,1.0,-32.17103469999997,98.96133900000001,3.687612658671431,1025.70383781
2014-01-07 01:00:00+00:00,-43.50328748988395,50.10568979999997,0.06534489999999948,-4.880689799999997,-32.17103469999997,-27.224999999999973,2.0,-32.10568979999997,98.751866,3.8284012595248487,1025.8532871266666
2014-01-07 02:00:00+00:00,-43.654415067775254,50.04034489999999,0.06534489999998527,0.13068979999998476,-32.10568979999997,-32.17103469999997,3.0,-32.04034489999999,98.542393,3.9819361967233498,1026.0027364433333
2014-01-07 03:00:00+00:00,-43.813891355736246,49.97499999999999,0.06534489999999948,0.13068979999998476,-32.04034489999999,-32.10568979999997,4.0,-31.974999999999987,98.33292,4.146799314152825,1026.15218576
2014-01-07 04:00:00+00:00,-43.68106321608626,49.82386033333333,0.15113966666665846,0.21648456666665794,-31.974999999999987,-32.04034489999999,5.0,-31.82386033333333,98.1662,4.184428544995718,1026.3767905066666
2014-01-07 05:00:00+00:00,-43.594670408235345,49.67272066666664,0.1511396666666851,0.30227933333334356,-31.82386033333333,-31.974999999999987,6.0,-31.672720666666642,97.99948,4.25577960932956,1026.6013952533333
2014-01-07 06:00:00+00:00,-43.55015768396419,49.52158099999998,0.15113966666666023,0.30227933333334533,-31.672720666666642,-31.82386033333333,7.0,-31.521580999999983,97.83276000000001,4.359196959777167,1026.826
2014-01-07 07:00:00+00:00,-43.813918578533944,49.43105399999998,0.0905269999999998,0.24166666666666003,-31.521580999999983,-31.672720666666642,8.0,-31.431053999999982,97.82500900000001,4.643194464864536,1027.0570104166668
2014-01-07 08:00:00+00:00,-44.06842322630885,49.340526999999966,0.09052700000001845,0.18105400000001826,-31.431053999999982,-31.521580999999983,9.0,-31.340526999999966,97.817258,4.9359210029281675,1027.2880208333331
2014-01-07 09:00:00+00:00,-44.31243948369738,49.249999999999964,0.09052700000000069,0.18105400000001914,-31.340526999999966,-31.431053999999982,10.0,-31.249999999999964,97.809507,5.2359125733470915,1027.51903125
2014-01-07 10:00:00+00:00,-44.310812411299956,49.17227556666664,0.0777244333333238,0.16825143333332448,-31.249999999999964,-31.340526999999966,11.0,-31.17227556666664,97.85276833333333,5.319190958590578,1027.5888384866666
2014-01-07 11:00:00+00:00,-44.30793563970085,49.09455113333331,0.07772443333332912,0.15544886666665292,-31.17227556666664,-31.249999999999964,12.0,-31.09455113333331,97.89602966666666,5.4026937068997665,1027.6586457233334
2014-01-07 12:00:00+00:00,-44.303827275295845,49.01682669999999,0.07772443333332202,0.15544886666665114,-31.09455113333331,-31.17227556666664,13.0,-31.01682669999999,97.939291,5.486410466610131,1027.7284529600001
2014-01-07 13:00:00+00:00,-44.324733800674316,48.91194066666665,0.10488603333333746,0.18261046666665948,-31.01682669999999,-31.09455113333331,14.0,-30.911940666666652,97.93999400000001,5.625755245524752,1027.81979671
