operating_date,target_time_utc,target_time_local,local_utc_offset,actual_load_mw,actual_load_available,pjm_forecast_mw,pjm_forecast_available,pjm_missing_reason,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,event_id,inside_registered_event,expected_hours_for_day,pjm_available_hours_for_day
2014-01-06,2014-01-07 04:00:00+00:00,2014-01-06 23:00:00-05:00,-5.0,121833.708,True,,False,NO_COMPLETE_VINTAGE,2014-01-05 17:00:00+00:00,2014-01-05 00:00:00+00:00,2014-01-05 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 05:00:00+00:00,2014-01-07 00:00:00-05:00,-5.0,119951.159,True,115557.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 06:00:00+00:00,2014-01-07 01:00:00-05:00,-5.0,119189.921,True,114166.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 07:00:00+00:00,2014-01-07 02:00:00-05:00,-5.0,119275.233,True,114101.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 08:00:00+00:00,2014-01-07 03:00:00-05:00,-5.0,120128.948,True,114977.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 09:00:00+00:00,2014-01-07 04:00:00-05:00,-5.0,122347.834,True,118228.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 10:00:00+00:00,2014-01-07 05:00:00-05:00,-5.0,126911.066,True,123647.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 11:00:00+00:00,2014-01-07 06:00:00-05:00,-5.0,133606.209,True,131991.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 12:00:00+00:00,2014-01-07 07:00:00-05:00,-5.0,137997.87,True,137043.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 13:00:00+00:00,2014-01-07 08:00:00-05:00,-5.0,137545.961,True,140551.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 14:00:00+00:00,2014-01-07 09:00:00-05:00,-5.0,136586.875,True,138690.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 15:00:00+00:00,2014-01-07 10:00:00-05:00,-5.0,135644.03,True,135812.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 16:00:00+00:00,2014-01-07 11:00:00-05:00,-5.0,134382.174,True,132168.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 17:00:00+00:00,2014-01-07 12:00:00-05:00,-5.0,132611.764,True,129246.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 18:00:00+00:00,2014-01-07 13:00:00-05:00,-5.0,130594.953,True,126552.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 19:00:00+00:00,2014-01-07 14:00:00-05:00,-5.0,128823.938,True,124398.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 20:00:00+00:00,2014-01-07 15:00:00-05:00,-5.0,128079.207,True,123791.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 21:00:00+00:00,2014-01-07 16:00:00-05:00,-5.0,130440.36,True,125979.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-07 22:00:00+00:00,2014-01-07 17:00:00-05:00,-5.0,137604.377,True,131954.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
