operating_date,year,expected_target_hours,panel_rows,actual_available_hours,pjm_available_hours,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,number_of_candidate_vintages,latest_candidate_complete,older_vintage_fallback_used,distinct_selected_evaluated_at_count,partial_day_detected,mixed_vintage_detected,evaluation_after_origin_detected,missing_reason,status
2010-02-08,2010,24,24,24,0,2010-02-07 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-09,2010,24,24,24,0,2010-02-08 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-10,2010,24,24,24,0,2010-02-09 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-11,2010,24,24,24,0,2010-02-10 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-12,2010,24,24,24,0,2010-02-11 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-13,2010,24,24,24,0,2010-02-12 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-14,2010,24,24,24,0,2010-02-13 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-15,2010,24,24,24,0,2010-02-14 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-16,2010,24,24,24,0,2010-02-15 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-17,2010,24,24,24,0,2010-02-16 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-18,2010,24,24,24,0,2010-02-17 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-19,2010,24,24,24,0,2010-02-18 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-20,2010,24,24,24,0,2010-02-19 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-21,2010,24,24,24,0,2010-02-20 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
