station_id,init_date,forecast_hour,relative_horizon_hour,wind_u_10m_mps,wind_v_10m_mps,relative_humidity_2m_percent,temperature_2m_kelvin,surface_pressure_pa,surface_pressure_hpa,temperature_2m_celsius,wind_speed_10m_mps,initialization_utc,valid_time_utc,valid_time_pjm
Baltimore_Washington_MD,20131231,18,0,1.5713815999999998,-2.2393092,97.786184,249.6106908,102520.5,1025.205,-23.53930919999999,2.735643585342067,2013-12-31 06:00:00,2014-01-01 00:00:00,2013-12-31 19:00:00-05:00
Baltimore_Washington_MD,20131231,19,1,1.1480482666666665,-2.4995394666666666,98.38848666666667,249.27092106666666,102517.270176,1025.17270176,-23.879078933333318,2.7505840049016177,2013-12-31 06:00:00,2014-01-01 01:00:00,2013-12-31 20:00:00-05:00
Baltimore_Washington_MD,20131231,20,2,0.7247149333333331,-2.7597697333333335,98.99078933333334,248.93115133333333,102514.040352,1025.14040352,-24.218848666666645,2.8533385210344524,2013-12-31 06:00:00,2014-01-01 02:00:00,2013-12-31 21:00:00-05:00
Baltimore_Washington_MD,20131231,21,3,0.3013815999999997,-3.02,99.593092,248.5913816,102510.810528,1025.10810528,-24.558618399999972,3.035000966856281,2013-12-31 06:00:00,2014-01-01 03:00:00,2013-12-31 22:00:00-05:00
Baltimore_Washington_MD,20131231,22,4,0.08827853333333302,-3.030230266666667,99.357456,248.60448466666668,102512.80806033334,1025.1280806033333,-24.5455153333333,3.031515886230884,2013-12-31 06:00:00,2014-01-01 04:00:00,2013-12-31 23:00:00-05:00
Baltimore_Washington_MD,20131231,23,5,-0.12482453333333365,-3.0404605333333334,99.12182,248.61758773333332,102514.80559266667,1025.1480559266668,-24.532412266666654,3.0430217578715246,2013-12-31 06:00:00,2014-01-01 05:00:00,2014-01-01 00:00:00-05:00
Baltimore_Washington_MD,20131231,24,6,-0.3379276000000004,-3.0506908000000004,98.886184,248.6306908,102516.803125,1025.16803125,-24.51930919999998,3.069349999600307,2013-12-31 06:00:00,2014-01-01 06:00:00,2014-01-01 01:00:00-05:00
Baltimore_Washington_MD,20131231,25,7,-0.308157866666667,-2.9440241333333335,98.98848666666666,248.53402413333333,102550.06875,1025.5006875000001,-24.615975866666645,2.960107999455026,2013-12-31 06:00:00,2014-01-01 07:00:00,2014-01-01 02:00:00-05:00
Baltimore_Washington_MD,20131231,26,8,-0.2783881333333337,-2.837357466666667,99.09078933333333,248.43735746666667,102583.334375,1025.83334375,-24.71264253333331,2.8509818214835927,2013-12-31 06:00:00,2014-01-01 08:00:00,2014-01-01 03:00:00-05:00
Baltimore_Washington_MD,20131231,27,9,-0.2486184000000003,-2.7306908,99.193092,248.3406908,102616.6,1026.1660000000002,-24.809309199999973,2.7419852942755183,2013-12-31 06:00:00,2014-01-01 09:00:00,2014-01-01 04:00:00-05:00
