station_id,station_name,latitude,longitude
Baltimore_Washington_MD,Baltimore Washington MD,38.8472,-77.03454
Chicago_OHare_IL,Chicago OHare IL,41.96019,-87.93162
Cincinnati_OH,Cincinnati OH,39.0444,-84.6724
Philadelphia_PA,Philadelphia PA,39.87327,-75.22678
