init_date,forecast_hour,station_id,10u,10v,2r,2t,sp,wind_speed_10m,temp_2m_c
20141101,18,Baltimore_Washington_MD,0.7393092000000001,1.34,99.906908,247.45000000000002,101172.6,1.5304176205221374,-25.69999999999996
20141101,18,Chicago_OHare_IL,0.41136759999999983,1.44,99.9,247.46,101167.8,1.4976058568027035,-25.68999999999997
20141101,18,Cincinnati_OH,0.5131040000000007,1.41,100.0,247.46,101169.4,1.5004585015307823,-25.68999999999997
20141101,18,Philadelphia_PA,0.7809287999999992,1.3045356000000004,99.9,247.42000000000002,101172.6,1.520415378222938,-25.72999999999996
20141101,21,Baltimore_Washington_MD,0.36930920000000017,0.6806907999999998,100.0,243.67000000000002,101119.90000000001,0.7744218814117276,-29.47999999999996
20141101,21,Chicago_OHare_IL,0.17136759999999981,0.7586324000000002,100.0,243.62,101115.1,0.7777467278359455,-29.529999999999973
20141101,21,Cincinnati_OH,0.23310400000000073,0.7334479999999997,99.86552,243.64000000000001,101116.70000000001,0.7695995345112936,-29.509999999999962
20141101,21,Philadelphia_PA,0.3954643999999996,0.66,99.84535600000001,243.6545356,101121.5,0.7694102232667303,-29.495464399999975
20141101,24,Baltimore_Washington_MD,-0.38069079999999983,0.85,99.906908,242.7106908,101057.20000000001,0.9313567980127916,-30.43930919999997
20141101,24,Chicago_OHare_IL,-0.5886324000000002,0.78,100.0,242.84863239999999,101052.40000000001,0.9771837607787801,-30.301367599999992
20141101,24,Cincinnati_OH,-0.5234479999999997,0.8,99.9,242.803448,101054.0,0.9560323261814947,-30.346551999999974
20141101,24,Philadelphia_PA,-0.3445356000000004,0.8554643999999996,100.0,242.6845356,101058.07430400001,0.9222386455439392,-30.465464399999973
20141101,27,Baltimore_Washington_MD,-0.78,0.74,99.886184,242.5506908,101066.5,1.075174404457249,-30.599309199999965
20141101,27,Chicago_OHare_IL,-0.9486324000000002,0.6113675999999998,99.91367600000001,242.70863240000003,101063.3,1.128571562932329,-30.44136759999995
20141101,27,Cincinnati_OH,-0.8934479999999996,0.6565520000000004,99.96552,242.66344800000002,101063.3,1.1087424666747459,-30.48655199999996
20141101,27,Philadelphia_PA,-0.75,0.76,99.89071200000001,242.52000000000004,101068.1,1.067754653466797,-30.62999999999994
20141101,30,Baltimore_Washington_MD,-0.8406907999999998,0.67,99.993092,242.72,100983.0,1.0750167539181144,-30.42999999999998
20141101,30,Chicago_OHare_IL,-0.9886324000000002,0.5413675999999998,99.986324,242.82999999999998,100979.8,1.1271525631694763,-30.319999999999993
20141101,30,Cincinnati_OH,-0.9434479999999997,0.58,100.0,242.803448,100981.40000000002,1.1074719539130549,-30.346551999999974
20141101,30,Philadelphia_PA,-0.8245356000000004,0.6900000000000001,99.9,242.6845356,100984.6,1.0751553169972052,-30.465464399999973
20141101,33,Baltimore_Washington_MD,-1.17,0.5393092000000002,99.9,242.7606908,100957.40000000001,1.2883145629870991,-30.389309199999985
20141101,33,Chicago_OHare_IL,-1.26,0.3313675999999999,99.81367600000002,242.85,100954.20000000001,1.3028447667814305,-30.299999999999983
20141101,33,Cincinnati_OH,-1.2334479999999997,0.39655200000000035,100.0,242.83000000000004,100955.8,1.2956262799928069,-30.319999999999936
20141101,33,Philadelphia_PA,-1.1445356000000004,0.5654643999999996,99.85464400000001,242.73000000000002,100957.40000000001,1.276601632199615,-30.41999999999996
20141101,36,Baltimore_Washington_MD,-1.18,0.3893092000000002,99.906908,242.79,100923.003125,1.2425625349271723,-30.359999999999985
20141101,36,Chicago_OHare_IL,-1.22,0.2113675999999998,99.9,242.86,100921.40312500001,1.238174568600793,-30.289999999999964
20141101,36,Cincinnati_OH,-1.21,0.26655200000000034,100.0,242.84344799999997,100921.40312500001,1.2390116903015889,-30.30655200000001
20141101,36,Philadelphia_PA,-1.16,0.42,100.0,242.7645356,100923.003125,1.2336936410632908,-30.38546439999999
20141101,39,Baltimore_Washington_MD,-1.1906907999999998,0.4093092000000002,99.9,243.07,100956.40000000001,1.2590784734913387,-30.079999999999984
20141101,39,Chicago_OHare_IL,-1.23,0.20136759999999984,99.986324,243.07,100954.8,1.2463743058687307,-30.079999999999984
20141101,39,Cincinnati_OH,-1.22,0.26655200000000034,100.0,243.08000000000004,100954.80000000002,1.2487793915275829,-30.069999999999936
20141101,39,Philadelphia_PA,-1.18,0.44,99.954644,243.04453560000002,100956.40000000001,1.2593649193144931,-30.10546439999996
20141101,42,Baltimore_Washington_MD,-0.78,0.5893092000000001,100.0,242.59,100936.90312500001,0.9775915983705262,-30.559999999999974
20141101,42,Chicago_OHare_IL,-0.8386324000000002,0.47136759999999983,99.9,242.61,100935.303125,0.9620248004389077,-30.539999999999964
20141101,42,Cincinnati_OH,-0.8200000000000001,0.51,99.93448,242.61,100935.303125,0.9656603957913984,-30.539999999999964
20141101,42,Philadelphia_PA,-0.7645356000000003,0.6054643999999996,100.0,242.5645356,100936.90312500001,0.9752444941319689,-30.585464399999978
