station_id,init_date,forecast_hour,relative_horizon_hour,wind_u_10m_mps,wind_v_10m_mps,relative_humidity_2m_percent,temperature_2m_kelvin,surface_pressure_pa,surface_pressure_hpa,temperature_2m_celsius,wind_speed_10m_mps,initialization_utc,valid_time_utc,valid_time_pjm
Baltimore_Washington_MD,2014-03-08,18,0,-2.7272368000000005,-5.012072399999999,100.0,250.37,101097.9,1010.9789999999999,-22.779999999999973,5.706022284053576,2014-03-08 06:00:00,2014-03-09 00:00:00,2014-03-08 19:00:00-05:00
Baltimore_Washington_MD,2014-03-08,19,1,-2.6872368000000004,-5.0551754666666655,100.0,250.17666666666668,101095.96666666666,1010.9596666666666,-22.9733333333333,5.725036298405695,2014-03-08 06:00:00,2014-03-09 01:00:00,2014-03-08 20:00:00-05:00
Baltimore_Washington_MD,2014-03-08,20,2,-2.6472368000000004,-5.098278533333333,100.0,249.98333333333332,101094.03333333334,1010.9403333333335,-23.166666666666657,5.744589339432517,2014-03-08 06:00:00,2014-03-09 02:00:00,2014-03-08 21:00:00-05:00
Baltimore_Washington_MD,2014-03-08,21,3,-2.6072368000000004,-5.141381599999999,100.0,249.79,101092.1,1010.921,-23.359999999999985,5.764675922208706,2014-03-08 06:00:00,2014-03-09 03:00:00,2014-03-08 22:00:00-05:00
Baltimore_Washington_MD,2014-03-08,22,4,-2.6772368,-5.158048266666666,99.96666666666667,249.68666666666667,101082.10350933333,1010.8210350933333,-23.46333333333331,5.811459266357912,2014-03-08 06:00:00,2014-03-09 04:00:00,2014-03-08 23:00:00-05:00
Baltimore_Washington_MD,2014-03-08,23,5,-2.7472368000000005,-5.174714933333333,99.93333333333334,249.58333333333331,101072.10701866668,1010.7210701866668,-23.566666666666663,5.85875282603194,2014-03-08 06:00:00,2014-03-09 05:00:00,2014-03-09 00:00:00-05:00
Baltimore_Washington_MD,2014-03-08,24,6,-2.8172368000000003,-5.1913816,99.9,249.48,101062.110528,1010.62110528,-23.669999999999987,5.906544345392896,2014-03-08 06:00:00,2014-03-09 06:00:00,2014-03-09 01:00:00-05:00
Baltimore_Washington_MD,2014-03-08,25,7,-2.883903466666667,-5.088278533333333,99.93333333333334,249.37,101067.40701866666,1010.6740701866667,-23.779999999999973,5.8487158964881205,2014-03-08 06:00:00,2014-03-09 07:00:00,2014-03-09 03:00:00-04:00
Baltimore_Washington_MD,2014-03-08,26,8,-2.9505701333333336,-4.985175466666667,99.96666666666667,249.26,101072.70350933334,1010.7270350933334,-23.889999999999986,5.792912785911239,2014-03-08 06:00:00,2014-03-09 08:00:00,2014-03-09 04:00:00-04:00
Baltimore_Washington_MD,2014-03-08,27,9,-3.0172368000000005,-4.8820724,100.0,249.15,101078.0,1010.78,-23.99999999999997,5.7391940920407984,2014-03-08 06:00:00,2014-03-09 09:00:00,2014-03-09 05:00:00-04:00
Baltimore_Washington_MD,2014-03-08,28,10,-3.0039034666666673,-4.8485088,100.0,249.06666666666666,101077.06770833333,1010.7706770833333,-24.083333333333314,5.703636876654182,2014-03-08 06:00:00,2014-03-09 10:00:00,2014-03-09 06:00:00-04:00
Baltimore_Washington_MD,2014-03-08,29,11,-2.9905701333333337,-4.8149452,100.0,248.98333333333335,101076.13541666667,1010.7613541666667,-24.16666666666663,5.668086714349773,2014-03-08 06:00:00,2014-03-09 11:00:00,2014-03-09 07:00:00-04:00
Baltimore_Washington_MD,2014-03-08,30,12,-2.9772368000000005,-4.7813816000000005,100.0,248.9,101075.203125,1010.75203125,-24.24999999999997,5.632543738675521,2014-03-08 06:00:00,2014-03-09 12:00:00,2014-03-09 08:00:00-04:00
Baltimore_Washington_MD,2014-03-08,31,13,-3.040570133333334,-4.701611866666667,100.0,248.83333333333334,101081.07225933333,1010.8107225933334,-24.316666666666634,5.599126796251315,2014-03-08 06:00:00,2014-03-09 13:00:00,2014-03-09 09:00:00-04:00
Baltimore_Washington_MD,2014-03-08,32,14,-3.1039034666666674,-4.621842133333333,100.0,248.76666666666665,101086.94139366668,1010.8694139366668,-24.383333333333326,5.567372938454955,2014-03-08 06:00:00,2014-03-09 14:00:00,2014-03-09 10:00:00-04:00
Baltimore_Washington_MD,2014-03-08,33,15,-3.167236800000001,-4.5420723999999995,100.0,248.7,101092.81052800002,1010.9281052800002,-24.44999999999999,5.537310776371144,2014-03-08 06:00:00,2014-03-09 15:00:00,2014-03-09 11:00:00-04:00
Baltimore_Washington_MD,2014-03-08,34,16,-3.1208004000000007,-4.395175466666666,99.96666666666667,248.6,101097.04035200001,1010.9704035200001,-24.549999999999983,5.390451049720117,2014-03-08 06:00:00,2014-03-09 16:00:00,2014-03-09 12:00:00-04:00
Baltimore_Washington_MD,2014-03-08,35,17,-3.074364000000001,-4.248278533333333,99.93333333333334,248.5,101101.270176,1011.01270176,-24.649999999999977,5.2440046244522724,2014-03-08 06:00:00,2014-03-09 17:00:00,2014-03-09 13:00:00-04:00
Baltimore_Washington_MD,2014-03-08,36,18,-3.027927600000001,-4.1013816,99.9,248.4,101105.5,1011.055,-24.74999999999997,5.098007118439551,2014-03-08 06:00:00,2014-03-09 18:00:00,2014-03-09 14:00:00-04:00
Baltimore_Washington_MD,2014-03-08,37,19,-3.001260933333334,-3.9482785333333332,99.23333333333333,248.26666666666668,101138.770176,1011.38770176,-24.883333333333297,4.959482893078037,2014-03-08 06:00:00,2014-03-09 19:00:00,2014-03-09 15:00:00-04:00
Baltimore_Washington_MD,2014-03-08,38,20,-2.9745942666666676,-3.7951754666666666,98.56666666666668,248.13333333333333,101172.04035200001,1011.7204035200001,-25.01666666666665,4.821987958723534,2014-03-08 06:00:00,2014-03-09 20:00:00,2014-03-09 16:00:00-04:00
Baltimore_Washington_MD,2014-03-08,39,21,-2.9479276000000008,-3.6420724,97.9,248.0,101205.31052800002,1012.0531052800002,-25.149999999999977,4.685612927001496,2014-03-08 06:00:00,2014-03-09 21:00:00,2014-03-09 17:00:00-04:00
Baltimore_Washington_MD,2014-03-08,40,22,-2.8614912000000006,-3.4182785333333334,95.8,247.86,101202.940352,1012.0294035200001,-25.289999999999964,4.457887394172819,2014-03-08 06:00:00,2014-03-09 22:00:00,2014-03-09 18:00:00-04:00
Baltimore_Washington_MD,2014-03-08,41,23,-2.7750548000000004,-3.1944846666666664,93.7,247.72,101200.57017600001,1012.0057017600001,-25.42999999999998,4.231508174229548,2014-03-08 06:00:00,2014-03-09 23:00:00,2014-03-09 19:00:00-04:00
