operating_day_pjm,initialization_utc,initialization_date,cycle_hour_utc
2014-04-07,2014-04-06 06:00:00+00:00,2014-04-06,6
2014-04-08,2014-04-07 06:00:00+00:00,2014-04-07,6
2014-04-09,2014-04-08 06:00:00+00:00,2014-04-08,6
2014-04-10,2014-04-09 06:00:00+00:00,2014-04-09,6
2014-04-11,2014-04-10 06:00:00+00:00,2014-04-10,6
2014-04-12,2014-04-11 06:00:00+00:00,2014-04-11,6
2014-04-13,2014-04-12 06:00:00+00:00,2014-04-12,6
2014-04-14,2014-04-13 06:00:00+00:00,2014-04-13,6
2014-04-15,2014-04-14 06:00:00+00:00,2014-04-14,6
2014-04-16,2014-04-15 06:00:00+00:00,2014-04-15,6
2014-04-17,2014-04-16 06:00:00+00:00,2014-04-16,6
2014-04-18,2014-04-17 06:00:00+00:00,2014-04-17,6
2014-04-19,2014-04-18 06:00:00+00:00,2014-04-18,6
2014-04-20,2014-04-19 06:00:00+00:00,2014-04-19,6
2014-04-21,2014-04-20 06:00:00+00:00,2014-04-20,6
2014-04-22,2014-04-21 06:00:00+00:00,2014-04-21,6
2014-04-23,2014-04-22 06:00:00+00:00,2014-04-22,6
2014-04-24,2014-04-23 06:00:00+00:00,2014-04-23,6
2014-04-25,2014-04-24 06:00:00+00:00,2014-04-24,6
2014-04-26,2014-04-25 06:00:00+00:00,2014-04-25,6
2014-04-27,2014-04-26 06:00:00+00:00,2014-04-26,6
2014-04-28,2014-04-27 06:00:00+00:00,2014-04-27,6
2014-04-29,2014-04-28 06:00:00+00:00,2014-04-28,6
2014-04-30,2014-04-29 06:00:00+00:00,2014-04-29,6
2014-05-01,2014-04-30 06:00:00+00:00,2014-04-30,6
2014-05-02,2014-05-01 06:00:00+00:00,2014-05-01,6
2014-05-03,2014-05-02 06:00:00+00:00,2014-05-02,6
2014-05-04,2014-05-03 06:00:00+00:00,2014-05-03,6
2014-05-05,2014-05-04 06:00:00+00:00,2014-05-04,6
2014-05-06,2014-05-05 06:00:00+00:00,2014-05-05,6
2014-05-07,2014-05-06 06:00:00+00:00,2014-05-06,6
2014-05-08,2014-05-07 06:00:00+00:00,2014-05-07,6
2014-05-09,2014-05-08 06:00:00+00:00,2014-05-08,6
2014-05-10,2014-05-09 06:00:00+00:00,2014-05-09,6
2014-05-11,2014-05-10 06:00:00+00:00,2014-05-10,6
2014-05-12,2014-05-11 06:00:00+00:00,2014-05-11,6
2014-05-13,2014-05-12 06:00:00+00:00,2014-05-12,6
2014-05-14,2014-05-13 06:00:00+00:00,2014-05-13,6
2014-05-15,2014-05-14 06:00:00+00:00,2014-05-14,6
2014-05-16,2014-05-15 06:00:00+00:00,2014-05-15,6
2014-05-17,2014-05-16 06:00:00+00:00,2014-05-16,6
2014-05-18,2014-05-17 06:00:00+00:00,2014-05-17,6
2014-05-19,2014-05-18 06:00:00+00:00,2014-05-18,6
2014-05-20,2014-05-19 06:00:00+00:00,2014-05-19,6
2014-05-21,2014-05-20 06:00:00+00:00,2014-05-20,6
2014-05-22,2014-05-21 06:00:00+00:00,2014-05-21,6
2014-05-23,2014-05-22 06:00:00+00:00,2014-05-22,6
2014-05-24,2014-05-23 06:00:00+00:00,2014-05-23,6
2014-05-25,2014-05-24 06:00:00+00:00,2014-05-24,6
2014-05-26,2014-05-25 06:00:00+00:00,2014-05-25,6
2014-05-27,2014-05-26 06:00:00+00:00,2014-05-26,6
2014-05-28,2014-05-27 06:00:00+00:00,2014-05-27,6
2014-05-29,2014-05-28 06:00:00+00:00,2014-05-28,6
2014-05-30,2014-05-29 06:00:00+00:00,2014-05-29,6
2014-05-31,2014-05-30 06:00:00+00:00,2014-05-30,6
2014-06-01,2014-05-31 06:00:00+00:00,2014-05-31,6
2014-06-02,2014-06-01 06:00:00+00:00,2014-06-01,6
2014-06-03,2014-06-02 06:00:00+00:00,2014-06-02,6
2014-06-04,2014-06-03 06:00:00+00:00,2014-06-03,6
2014-06-05,2014-06-04 06:00:00+00:00,2014-06-04,6
2014-06-06,2014-06-05 06:00:00+00:00,2014-06-05,6
2014-06-07,2014-06-06 06:00:00+00:00,2014-06-06,6
2014-06-08,2014-06-07 06:00:00+00:00,2014-06-07,6
2014-06-09,2014-06-08 06:00:00+00:00,2014-06-08,6
2014-06-10,2014-06-09 06:00:00+00:00,2014-06-09,6
2014-06-11,2014-06-10 06:00:00+00:00,2014-06-10,6
2014-06-12,2014-06-11 06:00:00+00:00,2014-06-11,6
2014-06-13,2014-06-12 06:00:00+00:00,2014-06-12,6
2014-06-14,2014-06-13 06:00:00+00:00,2014-06-13,6
2014-06-15,2014-06-14 06:00:00+00:00,2014-06-14,6
2014-06-16,2014-06-15 06:00:00+00:00,2014-06-15,6
2014-06-17,2014-06-16 06:00:00+00:00,2014-06-16,6
2014-06-18,2014-06-17 06:00:00+00:00,2014-06-17,6
2014-06-19,2014-06-18 06:00:00+00:00,2014-06-18,6
2014-06-20,2014-06-19 06:00:00+00:00,2014-06-19,6
2014-06-21,2014-06-20 06:00:00+00:00,2014-06-20,6
2014-06-22,2014-06-21 06:00:00+00:00,2014-06-21,6
2014-06-23,2014-06-22 06:00:00+00:00,2014-06-22,6
2014-06-24,2014-06-23 06:00:00+00:00,2014-06-23,6
2014-06-25,2014-06-24 06:00:00+00:00,2014-06-24,6
2014-06-26,2014-06-25 06:00:00+00:00,2014-06-25,6
2014-06-27,2014-06-26 06:00:00+00:00,2014-06-26,6
2014-06-28,2014-06-27 06:00:00+00:00,2014-06-27,6
2014-06-29,2014-06-28 06:00:00+00:00,2014-06-28,6
2014-06-30,2014-06-29 06:00:00+00:00,2014-06-29,6
2014-07-01,2014-06-30 06:00:00+00:00,2014-06-30,6
2014-07-02,2014-07-01 06:00:00+00:00,2014-07-01,6
2014-07-03,2014-07-02 06:00:00+00:00,2014-07-02,6
2014-07-04,2014-07-03 06:00:00+00:00,2014-07-03,6
2014-07-05,2014-07-04 06:00:00+00:00,2014-07-04,6
2014-07-06,2014-07-05 06:00:00+00:00,2014-07-05,6
2014-07-07,2014-07-06 06:00:00+00:00,2014-07-06,6
2014-07-08,2014-07-07 06:00:00+00:00,2014-07-07,6
2014-07-09,2014-07-08 06:00:00+00:00,2014-07-08,6
2014-07-10,2014-07-09 06:00:00+00:00,2014-07-09,6
2014-07-11,2014-07-10 06:00:00+00:00,2014-07-10,6
2014-07-12,2014-07-11 06:00:00+00:00,2014-07-11,6
2014-07-13,2014-07-12 06:00:00+00:00,2014-07-12,6
2014-07-14,2014-07-13 06:00:00+00:00,2014-07-13,6
2014-07-15,2014-07-14 06:00:00+00:00,2014-07-14,6
2014-07-16,2014-07-15 06:00:00+00:00,2014-07-15,6
2014-07-17,2014-07-16 06:00:00+00:00,2014-07-16,6
2014-07-18,2014-07-17 06:00:00+00:00,2014-07-17,6
2014-07-19,2014-07-18 06:00:00+00:00,2014-07-18,6
2014-07-20,2014-07-19 06:00:00+00:00,2014-07-19,6
2014-07-21,2014-07-20 06:00:00+00:00,2014-07-20,6
2014-07-22,2014-07-21 06:00:00+00:00,2014-07-21,6
2014-07-23,2014-07-22 06:00:00+00:00,2014-07-22,6
2014-07-24,2014-07-23 06:00:00+00:00,2014-07-23,6
2014-07-25,2014-07-24 06:00:00+00:00,2014-07-24,6
2014-07-26,2014-07-25 06:00:00+00:00,2014-07-25,6
2014-07-27,2014-07-26 06:00:00+00:00,2014-07-26,6
2014-07-28,2014-07-27 06:00:00+00:00,2014-07-27,6
2014-07-29,2014-07-28 06:00:00+00:00,2014-07-28,6
2014-07-30,2014-07-29 06:00:00+00:00,2014-07-29,6
2014-07-31,2014-07-30 06:00:00+00:00,2014-07-30,6
2014-08-01,2014-07-31 06:00:00+00:00,2014-07-31,6
2014-08-02,2014-08-01 06:00:00+00:00,2014-08-01,6
2014-08-03,2014-08-02 06:00:00+00:00,2014-08-02,6
2014-08-04,2014-08-03 06:00:00+00:00,2014-08-03,6
2014-08-05,2014-08-04 06:00:00+00:00,2014-08-04,6
2014-08-06,2014-08-05 06:00:00+00:00,2014-08-05,6
2014-08-07,2014-08-06 06:00:00+00:00,2014-08-06,6
2014-08-08,2014-08-07 06:00:00+00:00,2014-08-07,6
2014-08-09,2014-08-08 06:00:00+00:00,2014-08-08,6
2014-08-10,2014-08-09 06:00:00+00:00,2014-08-09,6
2014-08-11,2014-08-10 06:00:00+00:00,2014-08-10,6
2014-08-12,2014-08-11 06:00:00+00:00,2014-08-11,6
2014-08-13,2014-08-12 06:00:00+00:00,2014-08-12,6
2014-08-14,2014-08-13 06:00:00+00:00,2014-08-13,6
2014-08-15,2014-08-14 06:00:00+00:00,2014-08-14,6
2014-08-16,2014-08-15 06:00:00+00:00,2014-08-15,6
2014-08-17,2014-08-16 06:00:00+00:00,2014-08-16,6
2014-08-18,2014-08-17 06:00:00+00:00,2014-08-17,6
2014-08-19,2014-08-18 06:00:00+00:00,2014-08-18,6
2014-08-20,2014-08-19 06:00:00+00:00,2014-08-19,6
2014-08-21,2014-08-20 06:00:00+00:00,2014-08-20,6
2014-08-22,2014-08-21 06:00:00+00:00,2014-08-21,6
2014-08-23,2014-08-22 06:00:00+00:00,2014-08-22,6
2014-08-24,2014-08-23 06:00:00+00:00,2014-08-23,6
2014-08-25,2014-08-24 06:00:00+00:00,2014-08-24,6
2014-08-26,2014-08-25 06:00:00+00:00,2014-08-25,6
2014-08-27,2014-08-26 06:00:00+00:00,2014-08-26,6
2014-08-28,2014-08-27 06:00:00+00:00,2014-08-27,6
2014-08-29,2014-08-28 06:00:00+00:00,2014-08-28,6
2014-08-30,2014-08-29 06:00:00+00:00,2014-08-29,6
2014-08-31,2014-08-30 06:00:00+00:00,2014-08-30,6
2014-09-01,2014-08-31 06:00:00+00:00,2014-08-31,6
2014-09-02,2014-09-01 06:00:00+00:00,2014-09-01,6
2014-09-03,2014-09-02 06:00:00+00:00,2014-09-02,6
2014-09-04,2014-09-03 06:00:00+00:00,2014-09-03,6
2014-09-05,2014-09-04 06:00:00+00:00,2014-09-04,6
2014-09-06,2014-09-05 06:00:00+00:00,2014-09-05,6
2014-09-07,2014-09-06 06:00:00+00:00,2014-09-06,6
2014-09-08,2014-09-07 06:00:00+00:00,2014-09-07,6
2014-09-09,2014-09-08 06:00:00+00:00,2014-09-08,6
2014-09-10,2014-09-09 06:00:00+00:00,2014-09-09,6
