window,n,qr_gbt_q50_mae,qr_gbt_q50_rmse,qr_gbt_q50_mape,qr_gbt_q50_bias,mean_pinball,pi90_coverage,pi98_coverage,winkler_90
Full-year_2014,8760,760.638798368128,1085.70393602451,0.8085776036227735,165.78886708069243,153.33586058102267,86.80365296803653,97.26027397260275,4626.983487184341
Jan_6-8_2014,72,2130.359892588086,2767.6121467136436,1.7111208973331655,1472.1578026079696,473.27626378182515,66.66666666666666,84.72222222222221,15475.928386399235
Jun_16-18_2014,72,1060.1173148301348,1422.5962619518236,0.9156391115354852,812.6928837078265,209.12422528213784,86.11111111111111,93.05555555555556,6355.3950625479465
Top_1pct_load,87,2539.1137403085,3123.0444151687407,1.8703768159884315,2241.6972651661495,502.04085263360076,63.2183908045977,82.75862068965517,16167.96653129262
