method,mean_pinball,quantile_crps,wis,c50,c90,c98,w50_mw,w90_mw,w98_mw,crossing_rows,crossing_pairs,crossing_rate_pct,median_mae
EMP_RESID_HOUR,988.5424822301902,1424.2475220650524,3260.3501857365104,48.246881655004564,88.20733191359903,96.91081026265084,5719.14688875809,16765.346972097323,26527.603739961865,0,0,0.0,2875.9671971204007
QHGBR_RAW,978.8036955757673,1398.3744174688095,3339.3197480613035,40.467498225332115,80.17062164080721,93.21950106480072,5185.660597406326,13684.251008251544,21588.752395019208,0,0,0.0,2836.710256289669
QHGBR_REARRANGED,978.8036955757673,1398.3744174688095,3339.3197480613035,40.467498225332115,80.17062164080721,93.21950106480072,5185.660597406326,13684.251008251544,21588.752395019208,0,0,0.0,2836.710256289669
